ika;mies;nainen
0;2.0625;1.8125
1;0.205;0.1525
2;0.1825;0.0675
3;0.09;0.075
4;0.0725;0.1025
5;0.095;0.0825
6;0.055;0.0975
7;0.0775;0.0875
8;0.0475;0.0825
9;0.0925;0.075
10;0.065;0.11
11;0.0925;0.07
12;0.075;0.095
13;0.125;0.0525
14;0.1075;0.1225
15;0.1825;0.1575
16;0.33;0.1025
17;0.3025;0.1775
18;0.4975;0.2425
19;0.67;0.275
20;0.8075;0.205
21;0.6175;0.255
22;0.7025;0.285
23;0.64;0.3
24;0.8775;0.3475
25;0.925;0.295
26;0.8125;0.29
27;0.905;0.2975
28;0.805;0.27
29;0.9975;0.315
30;0.7825;0.46
31;0.945;0.455
32;0.945;0.3275
33;1.12;0.39
34;1.0575;0.4025
35;0.9775;0.3725
36;1.1575;0.5
37;1.2625;0.55
38;1.3675;0.53
39;1.3275;0.5375
40;1.28;0.585
41;1.575;0.6675
42;1.715;0.77
43;1.9075;0.7425
44;2.205;0.845
45;2.42;1.0625
46;2.53;1.1125
47;2.5175;1.175
48;2.815;1.26
49;3.2075;1.5125
50;3.5;2.0075
51;4.04;1.97
52;4.6025;2.195
53;4.54;2.0975
54;5.135;2.505
55;5.2025;2.9525
56;6.5725;2.935
57;6.615;3.25
58;7.7325;3.185
59;8.045;3.9125
60;9.1825;4.1625
61;10.375;4.855
62;10.845;4.99
63;12.145;6.03
64;13.755;5.96
65;14.125;7.2525
66;15.1525;7.42
67;17.1;7.7925
68;18.3625;9.0925
69;19.005;9.9075
70;21.7275;10.825
71;22.54;12.4125
72;24.7825;12.3825
73;27.4025;13.8275
74;30.49;16.355
75;32.8575;18.405
76;37.59;20.2225
77;41.615;22.7125
78;45.4625;27.005
79;51.065;31.435
80;58.59;34.0525
81;62.7725;39.0775
82;69.13;46.1475
83;79.08;52.4875
84;91.995;62.09
85;101.1975;70.1825
86;117.9825;83.245
87;132.275;93.5625
88;148.265;108.8675
89;161.32;124.405
90;177.08;143.515
91;199.175;156.3775
92;217.1275;173.995
93;246.98;200.5975
94;262.4125;222.7675
95;280.0075;247.56
96;320.53;261.9725
97;336.45;297.34
98;314.455;315.3725
99;350.7325;351.21
