ika;riski
34;22.2
35;21.81355954
36;21.55077251
37;21.41163892
38;21.39615877
39;21.50433205
40;21.73615877
41;22.09163892
42;22.57077251
43;23.17355954
44;23.9
45;24.7500939
46;25.72384123
47;26.821242
48;28.0422962
49;29.38700384
50;30.69275117
51;31.79692446
52;32.69952369
53;33.40054887
54;33.9
55;34.19787708
56;34.29418011
57;34.18890909
58;33.88206402
59;33.3736449
60;32.75133419
61;32.10281434
62;31.42808536
63;30.72714725
64;30
65;29.24664362
66;28.4670781
67;27.66130346
68;26.82931968
69;25.97112676
70;25.1032437
71;24.2421895
72;23.38796415
73;22.54056765
74;21.7
75;20.8662612
76;20.03935126
77;19.21927017
78;18.40601793
79;17.59959454
80;16.8
