ika;riski
34;27
35;27.95292125
36;28.95852668
37;30.01681626
38;31.12779001
39;32.29144793
40;33.50779001
41;34.77681626
42;36.09852668
43;37.47292125
44;38.9
45;40.37976291
46;41.91220999
47;43.49734123
48;45.13515664
49;46.82565621
50;48.46610329
51;49.9537612
52;51.28862996
53;52.47070956
54;53.5
55;54.37650128
56;55.1002134
57;55.67113636
58;56.08927017
59;56.35461481
60;56.53159027
61;56.68461652
62;56.81369356
63;56.91882138
64;57
65;57.05722941
66;57.0905096
67;57.09984059
68;57.08522236
69;57.04665493
70;56.8763551
71;56.46653969
72;55.81720871
73;54.92836214
74;53.8
75;52.43212228
76;50.82472898
77;48.9778201
78;46.89139565
79;44.56545561
80;42
