ika;riski
34;18.1
35;18.47338284
36;18.89045839
37;19.35122663
38;19.85568758
39;20.40384123
40;20.99568758
41;21.63122663
42;22.31045839
43;23.03338284
44;23.8
45;24.61030986
46;25.46431242
47;26.36200768
48;27.30339565
49;28.28847631
50;29.22247887
51;30.01063252
52;30.65293726
53;31.14939309
54;31.5
55;31.704758
56;31.76366709
57;31.67672727
58;31.44393854
59;31.0653009
60;30.65343918
61;30.32097823
62;30.06791805
63;29.89425864
64;29.8
65;29.78514213
66;29.84968502
67;29.99362868
68;30.21697311
69;30.51971831
70;30.86888604
71;31.23149808
72;31.60755442
73;31.99705506
74;32.4
75;32.81638924
76;33.24622279
77;33.68950064
78;34.14622279
79;34.61638924
80;35.1
