ika;riski
34;24.6
35;26.08175352
36;27.54311737
37;28.98409155
38;30.40467606
39;31.80487089
40;33.18467606
41;34.54409155
42;35.88311737
43;37.20175352
44;38.5
45;39.77785681
46;41.03532394
47;42.27240141
48;43.4890892
49;44.68538732
50;45.83085446
51;46.8950493
52;47.87797183
53;48.77962207
54;49.6
55;50.33910563
56;50.99693897
57;51.5735
58;52.06878873
59;52.48280516
60;52.86219718
61;53.25361268
62;53.65705164
63;54.07251408
64;54.5
65;54.93950939
66;55.39104225
67;55.85459859
68;56.3301784
69;56.81778169
70;57.31596244
71;57.82327465
72;58.33971831
73;58.86529343
74;59.4
75;59.94383803
76;60.49680751
77;61.05890845
78;61.63014085
79;62.21050469
80;62.8
