"Vuosi";"Miehet 0";"Miehet 1";"Miehet 2";"Miehet 3";"Miehet 4";"Miehet 5";"Miehet 6";"Miehet 7";"Miehet 8";"Miehet 9";"Miehet 10";"Miehet 11";"Miehet 12";"Miehet 13";"Miehet 14";"Miehet 15";"Miehet 16";"Miehet 17";"Miehet 18";"Miehet 19";"Miehet 20";"Miehet 21";"Miehet 22";"Miehet 23";"Miehet 24";"Miehet 25";"Miehet 26";"Miehet 27";"Miehet 28";"Miehet 29";"Miehet 30";"Miehet 31";"Miehet 32";"Miehet 33";"Miehet 34";"Miehet 35";"Miehet 36";"Miehet 37";"Miehet 38";"Miehet 39";"Miehet 40";"Miehet 41";"Miehet 42";"Miehet 43";"Miehet 44";"Miehet 45";"Miehet 46";"Miehet 47";"Miehet 48";"Miehet 49";"Miehet 50";"Miehet 51";"Miehet 52";"Miehet 53";"Miehet 54";"Miehet 55";"Miehet 56";"Miehet 57";"Miehet 58";"Miehet 59";"Miehet 60";"Miehet 61";"Miehet 62";"Miehet 63";"Miehet 64";"Miehet 65";"Miehet 66";"Miehet 67";"Miehet 68";"Miehet 69";"Miehet 70";"Miehet 71";"Miehet 72";"Miehet 73";"Miehet 74";"Miehet 75";"Miehet 76";"Miehet 77";"Miehet 78";"Miehet 79";"Miehet 80";"Miehet 81";"Miehet 82";"Miehet 83";"Miehet 84";"Miehet 85";"Miehet 86";"Miehet 87";"Miehet 88";"Miehet 89";"Miehet 90";"Miehet 91";"Miehet 92";"Miehet 93";"Miehet 94";"Miehet 95";"Miehet 96";"Miehet 97";"Miehet 98";"Miehet 99";"Miehet 100 -";"Naiset 0";"Naiset 1";"Naiset 2";"Naiset 3";"Naiset 4";"Naiset 5";"Naiset 6";"Naiset 7";"Naiset 8";"Naiset 9";"Naiset 10";"Naiset 11";"Naiset 12";"Naiset 13";"Naiset 14";"Naiset 15";"Naiset 16";"Naiset 17";"Naiset 18";"Naiset 19";"Naiset 20";"Naiset 21";"Naiset 22";"Naiset 23";"Naiset 24";"Naiset 25";"Naiset 26";"Naiset 27";"Naiset 28";"Naiset 29";"Naiset 30";"Naiset 31";"Naiset 32";"Naiset 33";"Naiset 34";"Naiset 35";"Naiset 36";"Naiset 37";"Naiset 38";"Naiset 39";"Naiset 40";"Naiset 41";"Naiset 42";"Naiset 43";"Naiset 44";"Naiset 45";"Naiset 46";"Naiset 47";"Naiset 48";"Naiset 49";"Naiset 50";"Naiset 51";"Naiset 52";"Naiset 53";"Naiset 54";"Naiset 55";"Naiset 56";"Naiset 57";"Naiset 58";"Naiset 59";"Naiset 60";"Naiset 61";"Naiset 62";"Naiset 63";"Naiset 64";"Naiset 65";"Naiset 66";"Naiset 67";"Naiset 68";"Naiset 69";"Naiset 70";"Naiset 71";"Naiset 72";"Naiset 73";"Naiset 74";"Naiset 75";"Naiset 76";"Naiset 77";"Naiset 78";"Naiset 79";"Naiset 80";"Naiset 81";"Naiset 82";"Naiset 83";"Naiset 84";"Naiset 85";"Naiset 86";"Naiset 87";"Naiset 88";"Naiset 89";"Naiset 90";"Naiset 91";"Naiset 92";"Naiset 93";"Naiset 94";"Naiset 95";"Naiset 96";"Naiset 97";"Naiset 98";"Naiset 99";"Naiset 100 -"
"2014";29494;30176;30816;31076;31924;31583;31296;31070;31105;30263;30629;29763;29488;29560;30157;30257;29948;30955;32100;33232;34184;34142;35581;35125;35730;34937;35269;33818;34442;35554;36744;37624;37525;35685;35545;35038;35461;35566;35809;35232;33254;30562;31537;32084;33139;33996;36130;37083;37237;37266;38032;38293;37847;37345;36926;36745;35387;36886;37702;37146;36527;36288;37479;35976;37051;37890;38068;37407;35918;31804;24746;23315;18214;26005;17757;19787;18849;16803;15233;14561;12884;11473;10943;10462;9265;7887;6966;5582;4613;3759;2925;2131;1492;1141;783;492;362;196;141;88;100;28176;28628;29603;29907;30336;30292;29976;29551;29786;29251;29063;28797;28009;28361;28472;29050;28711;29963;30555;31811;32916;32816;33870;33694;34028;33436;33729;32128;32571;33681;34738;35506;34887;33777;33356;33443;33241;33786;33832;33021;31899;28819;29838;31278;32269;32777;35319;36226;36552;36731;37381;37794;37309;37361;37297;37039;35942;37447;38436;38167;38702;37818;38957;37522;38910;39978;40742;40518;39440;34849;28159;26611;21325;30790;21951;25472;24013;22441;20856;20409;19054;17400;17847;17123;16986;15614;14089;12167;10726;9651;7750;6766;5246;4167;3126;1782;1504;1042;674;437;641
"2015";29173;29669;30297;30945;31170;32027;31691;31378;31148;31174;30350;30706;29837;29570;29620;30222;30344;30044;31095;32241;33358;34296;34332;35843;35407;36031;35239;35537;34078;34685;35765;36933;37771;37658;35805;35670;35131;35520;35646;35859;35271;33283;30600;31566;32116;33132;33965;36075;37013;37157;37170;37909;38158;37694;37164;36722;36512;35147;36607;37415;36805;36186;35912;37049;35532;36564;37310;37487;36749;35260;31169;24257;22783;17764;25249;17223;19120;18133;16055;14517;13790;12113;10667;10124;9550;8362;7050;6108;4813;3927;3119;2361;1667;1161;850;578;355;247;123;85;96;27924;28328;28762;29704;29995;30427;30391;30077;29612;29873;29339;29144;28860;28078;28434;28540;29110;28785;30109;30594;31863;33028;33011;34112;33964;34282;33653;33946;32340;32749;33846;34868;35613;35015;33881;33431;33542;33333;33851;33897;33088;31970;28911;29891;31320;32300;32816;35355;36234;36546;36736;37361;37752;37276;37310;37255;36949;35844;37345;38308;38036;38535;37651;38749;37314;38668;39709;40448;40185;39112;34498;27871;26298;21067;30370;21589;25036;23510;21909;20291;19782;18371;16686;16993;16165;15893;14451;12866;10909;9496;8362;6600;5608;4240;3294;2397;1334;1072;704;449;638
"2016";29270;29368;29813;30456;31075;31300;32156;31787;31482;31227;31275;30435;30781;29930;29648;29708;30307;30455;30217;31254;32401;33507;34528;34645;36176;35773;36370;35585;35831;34375;34946;36000;37144;37942;37806;35960;35798;35225;35618;35726;35926;35316;33338;30651;31617;32133;33122;33955;36029;36929;37068;37088;37794;38000;37535;36963;36500;36299;34892;36335;37078;36479;35830;35522;36619;35074;36007;36769;36854;36102;34582;30551;23711;22243;17276;24501;16643;18424;17338;15333;13765;12961;11295;9880;9259;8644;7485;6212;5263;4106;3259;2526;1849;1306;867;628;409;241;150;85;90;28013;28103;28489;28876;29802;30127;30541;30516;30161;29717;29956;29419;29224;28962;28154;28514;28628;29191;28941;30169;30701;32006;33264;33327;34430;34278;34538;33926;34200;32564;32955;34033;35036;35761;35139;33991;33563;33634;33441;33940;33979;33174;32060;28985;29959;31375;32353;32862;35371;36260;36551;36740;37331;37745;37224;37260;37174;36870;35768;37236;38172;37871;38366;37461;38545;37105;38413;39430;40139;39839;38721;34176;27541;25985;20800;29890;21227;24521;22981;21339;19674;19091;17632;15899;16082;15151;14716;13234;11562;9678;8237;7135;5492;4536;3359;2520;1794;964;727;467;640
"2017";29331;29470;29521;29967;30588;31203;31427;32242;31886;31563;31334;31363;30513;30883;30011;29724;29797;30427;30607;30383;31429;32554;33730;34843;34999;36521;36130;36708;35865;36133;34632;35192;36208;37320;38086;37950;36092;35883;35359;35693;35787;35971;35351;33362;30722;31646;32135;33116;33918;35953;36865;36972;36977;37648;37848;37324;36768;36271;36025;34649;36028;36748;36137;35447;35106;36143;34570;35520;36159;36220;35403;33918;29924;23141;21645;16771;23716;16050;17638;16586;14536;12960;12098;10482;9075;8376;7763;6589;5368;4490;3424;2642;1981;1454;971;644;464;272;152;98;85;28078;28198;28263;28595;29009;29912;30229;30673;30598;30246;29826;30050;29509;29301;29044;28228;28590;28694;29355;29040;30258;30856;32264;33566;33649;34742;34536;34805;34174;34411;32780;33156;34177;35196;35886;35238;34113;33664;33746;33508;34035;34070;33248;32149;29046;30029;31416;32407;32882;35396;36280;36561;36710;37319;37685;37182;37205;37084;36788;35653;37092;38031;37719;38172;37260;38337;36861;38165;39118;39788;39488;38345;33772;27241;25660;20479;29391;20815;23972;22390;20704;19014;18355;16815;15082;15064;14070;13492;11904;10272;8417;7049;5952;4443;3592;2592;1881;1296;645;492;653
"2018";29392;29536;29602;29688;30098;30715;31314;31533;32355;31961;31651;31424;31451;30601;30964;30078;29818;29925;30590;30781;30549;31578;32793;34049;35195;35339;36888;36454;36995;36163;36373;34886;35416;36390;37461;38235;38073;36183;35988;35429;35781;35818;36018;35383;33416;30754;31637;32124;33093;33862;35904;36774;36866;36841;37486;37662;37124;36519;36046;35759;34370;35723;36413;35749;35037;34684;35656;34103;34936;35552;35549;34738;33207;29217;22550;21031;16261;22881;15400;16870;15747;13718;12114;11246;9619;8232;7527;6851;5715;4586;3764;2781;2085;1552;1081;725;455;314;176;106;83;28130;28265;28341;28381;28716;29127;30034;30354;30748;30688;30358;29901;30131;29594;29387;29113;28306;28667;28850;29455;29134;30431;31106;32577;33905;33962;34999;34785;35051;34380;34605;32991;33309;34352;35311;35988;35343;34222;33764;33829;33601;34121;34159;33330;32188;29113;30088;31480;32434;32910;35417;36266;36546;36699;37262;37654;37124;37114;36987;36685;35532;36957;37869;37533;37976;37058;38098;36621;37865;38803;39436;39112;37917;33395;26902;25277;20153;28833;20356;23382;21748;20031;18292;17516;15963;14146;14022;12922;12170;10586;8960;7209;5882;4823;3532;2773;1943;1359;888;432;677
"2019";29417;29583;29685;29769;29821;30219;30838;31434;31619;32418;32071;31749;31506;31531;30682;31036;30195;29922;30082;30764;30933;30726;31818;33111;34419;35531;35712;37197;36756;37272;36409;36624;35099;35604;36560;37598;38358;38155;36285;36084;35481;35819;35871;36045;35423;33454;30746;31642;32123;33030;33801;35832;36667;36746;36692;37308;37441;36904;36283;35783;35500;34074;35390;36049;35351;34628;34219;35170;33568;34357;34924;34895;34047;32460;28462;21927;20392;15707;21965;14749;16047;14869;12852;11271;10344;8732;7415;6670;5935;4902;3846;3053;2202;1631;1159;816;520;311;197;111;104;28161;28294;28417;28476;28503;28828;29236;30173;30426;30840;30796;30435;29995;30210;29670;29466;29184;28409;28821;28941;29538;29306;30688;31425;32925;34195;34225;35265;35045;35243;34581;34810;33133;33482;34479;35414;36088;35474;34305;33862;33911;33692;34202;34226;33386;32243;29169;30139;31516;32470;32953;35412;36260;36523;36654;37243;37577;37021;37035;36876;36563;35400;36822;37681;37346;37774;36834;37836;36356;37571;38478;39059;38679;37512;33001;26505;24883;19786;28220;19897;22690;21052;19291;17489;16636;15009;13182;12894;11673;10850;9258;7675;6029;4783;3833;2742;2071;1406;933;591;645
"2020";29412;29611;29743;29843;29907;29941;30345;30953;31506;31732;32519;32149;31826;31584;31617;30760;31133;30299;30096;30249;30929;31104;30957;32150;33469;34769;35901;36040;37495;37033;37516;36649;36837;35295;35765;36718;37724;38442;38233;36369;36148;35549;35855;35901;36076;35451;33443;30756;31627;32064;33002;33737;35719;36575;36598;36500;37113;37227;36657;36050;35500;35206;33770;35059;35651;34952;34173;33769;34641;33014;33783;34279;34209;33316;31639;27688;21275;19726;15092;21065;14037;15173;13956;11952;10386;9414;7878;6580;5793;5108;4105;3132;2422;1717;1231;872;580;359;200;122;101;28161;28334;28464;28528;28587;28625;28955;29355;30241;30543;30940;30862;30528;30070;30296;29752;29540;29260;28570;28907;29053;29705;29555;31027;31771;33233;34469;34481;35509;35236;35448;34776;34945;33302;33624;34583;35524;36202;35537;34399;33948;33991;33795;34264;34285;33432;32291;29230;30178;31564;32493;32951;35413;36239;36499;36620;37169;37481;36967;36914;36766;36423;35263;36631;37499;37153;37555;36599;37567;36073;37259;38124;38644;38278;37055;32538;26105;24440;19377;27571;19326;22006;20291;18458;16636;15663;13998;12140;11666;10425;9490;7959;6435;4918;3805;2980;2058;1503;963;617;742
"2021";29395;29606;29777;29882;29986;30029;30066;30460;31041;31610;31800;32614;32234;31910;31673;31682;30857;31252;30461;30258;30425;31089;31359;31282;32518;33839;35122;36236;36339;37767;37279;37757;36865;37005;35462;35934;36833;37818;38529;38323;36430;36185;35592;35896;35949;36085;35437;33432;30754;31588;32034;32943;33659;35606;36418;36432;36323;36890;37000;36416;35772;35223;34914;33456;34685;35250;34495;33754;33254;34105;32475;33177;33632;33485;32482;30817;26903;20586;18958;14499;20066;13297;14253;13011;11032;9470;8523;6982;5735;4979;4295;3358;2470;1905;1299;921;628;395;233;126;132;28127;28338;28503;28576;28654;28710;28741;29076;29442;30345;30625;31029;30952;30587;30167;30371;29818;29624;29434;28639;29014;29227;29969;29899;31362;32098;33495;34728;34739;35712;35431;35624;34929;35085;33462;33727;34700;35635;36280;35617;34499;34024;34093;33848;34323;34325;33476;32349;29279;30225;31576;32517;32972;35376;36204;36465;36557;37090;37401;36844;36813;36632;36266;35115;36454;37317;36928;37319;36339;37293;35784;36922;37722;38266;37829;36561;32035;25652;23951;18941;26826;18746;21235;19436;17580;15676;14632;12906;11019;10437;9134;8178;6663;5265;3915;2973;2239;1503;1013;641;817
"2022";29347;29594;29771;29916;30027;30096;30152;30180;30571;31119;31702;31898;32688;32312;32001;31746;31768;30990;31403;30629;30437;30584;31333;31677;31666;32883;34203;35472;36531;36626;38003;37503;37967;37040;37159;35643;36051;36937;37922;38592;38373;36492;36221;35628;35943;35964;36091;35406;33425;30712;31576;31962;32870;33572;35483;36249;36254;36111;36677;36757;36146;35487;34937;34582;33120;34302;34821;34074;33258;32767;33537;31913;32577;32921;32695;31648;29949;26040;19839;18206;13831;19029;12509;13302;12021;10066;8575;7585;6108;4929;4209;3499;2663;1957;1433;972;662;433;258;148;134;28101;28309;28487;28613;28699;28765;28835;28871;29168;29522;30446;30716;31107;31029;30687;30219;30454;29899;29787;29506;28761;29182;29475;30310;30247;31694;32381;33760;34977;34936;35918;35609;35770;35074;35227;33558;33852;34806;35732;36358;35702;34584;34121;34159;33900;34366;34366;33525;32397;29318;30257;31603;32517;32942;35383;36161;36407;36470;37017;37304;36725;36678;36492;36112;34935;36280;37098;36711;37056;36078;36995;35474;36554;37353;37829;37334;36018;31501;25146;23430;18441;26030;18105;20370;18529;16586;14667;13517;11719;9863;9190;7877;6865;5466;4195;3071;2216;1636;1025;687;880
"2023";29275;29537;29752;29929;30048;30149;30231;30264;30278;30646;31225;31778;31989;32767;32406;32066;31842;31891;31134;31576;30793;30603;30834;31669;32053;32024;33268;34550;35763;36820;36878;38240;37712;38139;37190;37332;35756;36159;37025;38006;38653;38423;36527;36258;35674;35961;35956;36068;35378;33386;30690;31516;31910;32794;33437;35347;36070;36044;35903;36434;36501;35881;35188;34627;34243;32766;33884;34406;33606;32764;32246;32976;31352;31909;32168;31869;30765;29039;25106;19061;17392;13128;17920;11693;12302;11000;9145;7633;6618;5283;4162;3449;2777;2096;1484;1081;711;456;277;152;166;28019;28268;28473;28605;28732;28823;28890;28947;28960;29267;29635;30524;30796;31189;31097;30763;30295;30533;30074;29851;29609;28930;29449;29815;30650;30603;31968;32652;34034;35173;35141;36073;35764;35922;35199;35337;33683;33955;34900;35809;36448;35786;34657;34186;34205;33949;34425;34409;33584;32421;29350;30276;31620;32511;32926;35338;36110;36344;36384;36908;37190;36610;36516;36341;35947;34771;36088;36866;36463;36796;35802;36678;35115;36216;36954;37338;36778;35440;30906;24598;22834;17930;25149;17388;19434;17510;15533;13566;12303;10520;8684;7914;6640;5641;4376;3271;2304;1635;1110;701;936
